# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Spanish dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/spanish/spain_mfa/spanish_spain_mfa.dict, dictionary/spanish/latin_america_mfa/spanish_latin_america_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
abanicaban	spain	a β a ɲ i k a β ã n
abanicazos	latin-america	a β a ɲ i k a s o
abanicazos	latin-america	a β a ɲ i k a s o s
abanicazos	spain	a β a ɲ i k a θ o s
abanico	spain+latin-america	a β a ɲ i k o
abanicos	latin-america	a β a ɲ i k o
abanicos	spain+latin-america	a β a ɲ i k o s
abanicándose	spain	a β a ɲ i k ã n d̪ o s e
abanicó	spain	a β a ɲ i k o
abanto	latin-america	a β ã n t̪ o
abarca	spain+latin-america	a β a r k a
abarca	spain+latin-america	a β a ɾ k a
abarcaba	latin-america	a β a r k a β a
abarcaba	spain+latin-america	a β a ɾ k a β a
abarcaban	spain+latin-america	a β a ɾ k a β ã n
abarcado	latin-america	a β a r k a ð o
abarcado	spain+latin-america	a β a ɾ k a ð o
abarcan	latin-america	a β a r k ã
abarcan	latin-america	a β a r k ã n
abarcan	latin-america	a β a ɾ k ã
abarcan	spain+latin-america	a β a ɾ k ã n
abarcando	latin-america	a β a r k ã n d̪ o
abarcando	spain+latin-america	a β a ɾ k ã n d̪ o
abarcar	latin-america	a β a r k a r
abarcar	latin-america	a β a r k a ɾ
abarcar	latin-america	a β a ɾ k a r
abarcar	spain+latin-america	a β a ɾ k a ɾ
abarcaron	latin-america	a β a r k a ɾ õ
abarcaron	latin-america	a β a ɾ k a ɾ õ n
abarcarse	spain	a β a ɾ k a ɾ s e
abarcas	spain	a β a ɾ k a s
abarcó	latin-america	a β a r k o
abarcó	spain+latin-america	a β a ɾ k o
abarrotada	latin-america	a β a r o t̪ a ð a
abarrotes	spain+latin-america	a β a r o t̪ e s
abarán	latin-america	a β a ɾ ã n
abascal	latin-america	a β a s k a l
abastadamente	spain	a β a s t̪ a ð a m ẽ n t̪ e
abastado	spain	a β a s t̪ a ð o
abastece	latin-america	a β a s t̪ e s e
abastecedor	latin-america	a β a s t̪ e s e ð o r
abastecedor	latin-america	a β a s t̪ e s e ð o ɾ
abastecedor	spain	a β a s t̪ e θ e ð o ɾ
abastecedores	spain	a β a s t̪ e θ e ð o ɾ e s
abastecer	latin-america	a β a s t̪ e s e r
abastecer	latin-america	a β a s t̪ e s e ɾ
abastecer	spain	a β a s t̪ e θ e ɾ
abastecernos	latin-america	a β a s t̪ e s e ɾ n o
abastecernos	latin-america	a β a s t̪ e s e ɾ n o s
abastecerse	spain	a β a s t̪ e θ e ɾ s e
abastecida	spain	a β a s t̪ e θ i ð a
abastecidas	spain	a β a s t̪ e θ i ð a s
abastecido	latin-america	a β a s t̪ e s i ð o
abastecido	spain	a β a s t̪ e θ i ð o
abastecidos	spain	a β a s t̪ e θ i ð o s
abastecimiento	latin-america	a β a s t̪ e s i m j ẽ n t̪ o
abastecimiento	spain	a β a s t̪ e θ i m j ẽ n t̪ o
abastecimientos	latin-america	a β a s t̪ e s i m j ẽ n t̪ o s
abasteció	spain	a β a s t̪ e θ j o
abastecía	latin-america	a β a s t̪ e s i a
abastecía	spain	a β a s t̪ e θ i a
abastecían	spain	a β a s t̪ e θ i ã n
abasto	spain+latin-america	a β a s t̪ o
abastos	latin-america	a β a s t̪ o h
abastos	spain+latin-america	a β a s t̪ o s
abata	spain	a β a t̪ a
abate	spain+latin-america	a β a t̪ e
abaten	spain	a β a t̪ ẽ n
abates	spain	a β a t̪ e s
abatida	spain+latin-america	a β a t̪ i ð a
abatidas	latin-america	a β a t̪ i ð a
abatidas	latin-america	a β a t̪ i ð a h
abatidas	spain+latin-america	a β a t̪ i ð a s
abatido	spain+latin-america	a β a t̪ i ð o
abatidos	spain+latin-america	a β a t̪ i ð o s
abatiendo	spain	a β a t̪ j ẽ n d̪ o
abatieron	spain	a β a t̪ j e ɾ õ n
abatimiento	spain+latin-america	a β a t̪ i m j ẽ n t̪ o
abatir	latin-america	a β a t̪ i
abatir	spain+latin-america	a β a t̪ i ɾ
abatirme	latin-america	a β a t̪ i r m e
abatirme	spain+latin-america	a β a t̪ i ɾ m e
abatirse	spain	a β a t̪ i ɾ s e
abatiré	spain	a β a t̪ i ɾ e
abatirían	spain	a β a t̪ i ɾ i ã n
abatiéndose	spain	a β a t̪ j ẽ n d̪ o s e
abatió	latin-america	a β a t̪ i o
abatió	spain	a β a t̪ j o
abatí	spain	a β a t̪ i
abatía	spain	a β a t̪ i a
abatían	spain	a β a t̪ i ã n
abaña	spain	a β a ɲ a
abbasán	spain	a β β a s ã n
abdalá	spain+latin-america	a β ð a l a
abdica	spain	a β ð i k a
abdicaba	spain	a β ð i k a β a
abdicaciones	spain	a β ð i k a θ j o n e s
abdicación	latin-america	a β ð i k a s j õ n
abdicación	spain	a β ð i k a θ j õ n
abdicado	spain	a β ð i k a ð o
abdicando	spain	a β ð i k ã n d̪ o
abdicar	latin-america	a β ð i k a
abdicar	spain+latin-america	a β ð i k a ɾ
abdicó	spain+latin-america	a β ð i k o
abdomen	spain+latin-america	a β ð o m ẽ n
abdominal	spain+latin-america	a β ð o m i n a l
abdominales	latin-america	a β ð o m i n a l e h
abdominales	latin-america	a β ð o m i n a l e s
abducción	latin-america	a β ð u ɣ s j õ n
abdías	spain	a β ð i a s
abdómen	latin-america	a β ð õ m ẽ n
abdún	spain	a β ð ũ n
abeba	spain+latin-america	a β e β a
abecedario	spain	a β e θ e ð a ɾ j o
abedul	spain+latin-america	a β e ð u l
abedules	spain+latin-america	a β e ð u l e s
abeja	spain+latin-america	a β e x a
abejas	latin-america	a β e x a h
abejas	spain+latin-america	a β e x a
abejas	spain+latin-america	a β e x a s
abejita	spain	a β e ç i t̪ a
abejorros	spain	a β e x o r o s
abejón	spain	a β e x õ n
abel	spain+latin-america	a β e l
abelardo	latin-america	a β e l a r ð o
abelardo	spain+latin-america	a β e l a ɾ ð o
abeliano	latin-america	a β e ʎ j a n o
abelito	spain	a β e ʎ i t̪ o
abello	latin-america	a β e ʃ o
abello	spain+latin-america	a β e ʝ o
abelín	spain	a β e ʎ ĩ n
abencerraje	spain	a β ẽ n θ e r a ç e
abencerrajes	spain	a β ẽ n θ e r a ç e s
aberraciones	latin-america	a β e r a s j o n e s
aberraciones	spain	a β e r a θ j o n e s
aberración	latin-america	a β e r a s j õ
aberración	latin-america	a β e r a s j õ n
aberración	spain	a β e r a θ j õ n
abertura	spain+latin-america	a β e ɾ t̪ u ɾ a
aberturas	latin-america	a β e ɾ t̪ u ɾ a
aberturas	spain+latin-america	a β e ɾ t̪ u ɾ a s
abertzale	latin-america	a β e ɾ s a l e
abertzale	latin-america	a β e ɾ tʃ a l e
abeto	spain+latin-america	a β e t̪ o
abetos	spain+latin-america	a β e t̪ o s
abidán	spain	a β i ð ã n
abierta	spain+latin-america	a β j e ɾ t̪ a
abiertamente	spain+latin-america	a β j e ɾ t̪ a m ẽ n t̪ e
abiertas	latin-america	a β j e ɾ t̪ a
abiertas	latin-america	a β j e ɾ t̪ a h
abiertas	spain+latin-america	a β j e ɾ t̪ a s
abierto	spain+latin-america	a β j e ɾ t̪ o
abiertos	latin-america	a β j e ɾ t̪ o
abiertos	latin-america	a β j e ɾ t̪ o h
abiertos	spain+latin-america	a β j e ɾ t̪ o s
abigarrada	spain+latin-america	a β i ɣ a r a ð a
abigarradas	spain	a β i ɣ a r a ð a s
abigarrado	spain+latin-america	a β i ɣ a r a ð o
abigarrados	spain	a β i ɣ a r a ð o s
abimelech	spain	a β i m e l e k
abisal	latin-america	a β i s a l
abisales	latin-america	a β i s a l e h
abisales	latin-america	a β i s a l e s
abisinia	latin-america	a β i s i ɲ j a
abisma	spain	a β i z m a
abismaba	spain+latin-america	a β i z m a β a
abismada	spain	a β i z m a ð a
abismado	spain+latin-america	a β i z m a ð o
abismados	spain	a β i z m a ð o s
abismarse	spain	a β i z m a ɾ s e
abismo	spain+latin-america	a β i z m o
abismos	spain	a β i z m o s
abismática	spain	a β i z m a t̪ i k a
abiú	spain	a β i u
abjasia	latin-america	a β x a s j a
abjasio	latin-america	a β x a s j o
abjasios	latin-america	a β x a s j o s
abjurando	spain	a β x u ɾ ã n d̪ o
abjurar	spain	a β x u ɾ a ɾ
ablación	latin-america	a β l a s j õ n
ablanda	spain	a β l ã n d̪ a
ablandaba	spain	a β l ã n d̪ a β a
ablandaban	spain	a β l ã n d̪ a β ã n
ablandado	spain	a β l ã n d̪ a ð o
ablandan	spain	a β l ã n d̪ ã n
ablandar	spain	a β l ã n d̪ a ɾ
ablandara	spain	a β l ã n d̪ a ɾ a
ablandarle	spain	a β l ã n d̪ a ɾ l e
ablandaron	spain	a β l ã n d̪ a ɾ õ n
ablandarse	spain	a β l ã n d̪ a ɾ s e
ablandase	spain	a β l ã n d̪ a s e
ablande	spain	a β l ã n d̪ e
ablandándose	spain	a β l ã n d̪ ã n d̪ o s e
ablandó	spain	a β l ã n d̪ o
abluciones	latin-america	a β l u s j o n e s
abluciones	spain	a β l u θ j o n e s
ablándasla	spain	a β l ã n d̪ a s l a
abnegaciones	spain	a β n e ɣ a θ j o n e s
abnegación	latin-america	a β n e ɣ a s j õ
abnegación	spain	a β n e ɣ a θ j õ n
abnegación	spain+latin-america	a β n e ɣ a s j õ n
abnegada	spain	a β n e ɣ a ð a
abnegadas	spain	a β n e ɣ a ð a s
abnegado	spain	a β n e ɣ a ð o
abnegados	spain	a β n e ɣ a ð o s
abner	spain	a β n e ɾ
abnón	spain	a β n õ n
abo	spain	a β o
abocado	spain	a β o k a ð o
abocados	spain	a β o k a ð o s
abocarme	spain	a β o k a ɾ m e
abochorna	spain	a β o tʃ o ɾ n a
abochornado	spain	a β o tʃ o ɾ n a ð o
abochornarme	spain	a β o tʃ o ɾ n a ɾ m e
abocó	spain+latin-america	a β o k o
abofetea	spain	a β o f e t̪ e a
abofeteaba	spain	a β o f e t̪ e a β a
abofeteado	spain	a β o f e t̪ e a ð o
abofetean	spain	a β o f e t̪ e ã n
abofeteando	spain	a β o f e t̪ e ã n d̪ o
abofeteara	spain+latin-america	a β o f e t̪ e a ɾ a
abofetearla	spain	a β o f e t̪ e a ɾ l a
abofetearse	spain	a β o f e t̪ e a ɾ s e
abofeteó	spain	a β o f e t̪ e o
aboga	spain+latin-america	a β o ɣ a
abogaba	latin-america	a β o ɣ a β a
abogaban	spain	a β o ɣ a β ã n
abogacía	latin-america	a β o ɣ a s i a
abogacía	spain	a β o ɣ a θ i a
abogada	spain+latin-america	a β o ɣ a ð a
abogadillo	spain	a β o ɣ a ð i ʝ o
abogadillos	spain	a β o ɣ a ð i ʝ o s
abogado	spain+latin-america	a β o ɣ a ð o
abogados	latin-america	a β o ɣ a ð o
abogados	latin-america	a β o ɣ a ð o h
abogados	spain+latin-america	a β o ɣ a ð o s
abogan	latin-america	a β o ɣ ã n
abogando	spain	a β o ɣ ã n d̪ o
abogar	spain	a β o ɣ a ɾ
abogaron	latin-america	a β o ɣ a ɾ õ n
abogó	spain+latin-america	a β o ɣ o
aboitiz	latin-america	a β o j t̪ i s
abolengo	spain+latin-america	a β o l ẽ ŋ ɡ o
abolicionismo	latin-america	a β o ʎ i s j o ɲ i z m o
abolicionista	latin-america	a β o ʎ i s j o ɲ i s t̪ a
abolición	latin-america	a β o ʎ i s j õ
abolición	latin-america	a β o ʎ i s j õ n
abolición	spain	a β o ʎ i θ j õ n
abolida	spain+latin-america	a β o ʎ i ð a
abolidas	latin-america	a β o ʎ i ð a
abolidas	latin-america	a β o ʎ i ð a s
abolido	spain+latin-america	a β o ʎ i ð o
abolidos	spain	a β o ʎ i ð o s
abolieron	spain	a β o ʎ j e ɾ õ n
abolir	latin-america	a β o ʎ i r
abolir	latin-america	a β o ʎ i ɾ
abolirla	spain	a β o ʎ i ɾ l a
abolió	spain+latin-america	a β o ʎ j o
abollado	spain	a β o ʝ a ð o
abolladuras	spain	a β o ʝ a ð u ɾ a s
abombado	spain+latin-america	a β õ m b a ð o
abomina	spain	a β o m i n a
abominaba	spain	a β o m i n a β a
abominable	spain+latin-america	a β o m i n a β l e
abominablemente	spain	a β o m i n a β l e m ẽ n t̪ e
abominables	spain	a β o m i n a β l e s
abominaciones	spain	a β o m i n a s j o n e s
abominaciones	spain	a β o m i n a θ j o n e s
abominación	spain	a β o m i n a θ j õ n
abominad	spain	a β o m i n a ð
abominado	spain	a β o m i n a ð o
abominan	spain	a β o m i n ã n
abominando	spain	a β o m i n ã n d̪ o
abominar	spain	a β o m i n a ɾ
abominará	spain	a β o m i n a ɾ a
abominaré	spain	a β o m i n a ɾ e
abominas	spain	a β o m i n a s
abomino	spain	a β o m i n o
abominó	spain	a β o m i n o
abona	spain+latin-america	a β o n a
abonaban	spain+latin-america	a β o n a β ã n
abonada	spain	a β o n a ð a
abonadas	spain	a β o n a ð a s
abonado	spain	a β o n a ð o
abonados	spain+latin-america	a β o n a ð o s
abonan	spain	a β o n ã n
abonanzó	spain	a β o n ã n θ o
abonar	spain+latin-america	a β o n a ɾ
abonarle	spain	a β o n a ɾ l e
abonaron	spain	a β o n a ɾ õ n
abonará	spain	a β o n a ɾ a
abono	spain+latin-america	a β o n o
abonos	spain+latin-america	a β o n o s
aborda	latin-america	a β o r ð a
aborda	spain+latin-america	a β o ɾ ð a
abordaba	latin-america	a β o r ð a β a
abordaba	spain+latin-america	a β o ɾ ð a β a
abordaban	latin-america	a β o r ð a β ã n
abordaban	spain+latin-america	a β o ɾ ð a β ã n
abordable	spain	a β o ɾ ð a β l e
abordadas	latin-america	a β o r ð a ð a s
abordadas	latin-america	a β o ɾ ð a ð a s
abordado	spain+latin-america	a β o r ð a ð o
abordado	spain+latin-america	a β o ɾ ð a ð o
abordados	latin-america	a β o r ð a ð o s
abordados	latin-america	a β o ɾ ð a ð o s
abordaje	latin-america	a β o r ð a ç e
abordaje	spain+latin-america	a β o ɾ ð a ç e
abordajes	spain	a β o ɾ ð a ç e s
abordamos	spain	a β o ɾ ð a m o s
abordan	latin-america	a β o r ð ã n
abordan	spain+latin-america	a β o ɾ ð ã n
abordando	latin-america	a β o r ð ã n d̪ o
abordando	spain+latin-america	a β o ɾ ð ã n d̪ o
abordar	latin-america	a β o r ð a r
abordar	latin-america	a β o r ð a ɾ
abordar	latin-america	a β o ɾ ð a
abordar	spain+latin-america	a β o ɾ ð a ɾ
abordaron	latin-america	a β o r ð a ɾ õ n
abordaron	spain+latin-america	a β o ɾ ð a ɾ õ n
abordarse	spain	a β o ɾ ð a ɾ s e
abordase	spain	a β o ɾ ð a s e
abordasen	spain	a β o ɾ ð a s ẽ n
abordo	spain	a β o ɾ ð o
abordé	spain	a β o ɾ ð e
abordó	spain+latin-america	a β o r ð o
abordó	spain+latin-america	a β o ɾ ð o
aborigen	spain+latin-america	a β o ɾ i ç ẽ n
aborrece	spain	a β o r e s e
aborrece	spain	a β o r e θ e
aborrecemos	spain	a β o r e θ e m o s
aborrecen	spain	a β o r e θ e n
aborrecen	spain+latin-america	a β o r e s e n
aborrecer	latin-america	a β o r e s e
aborrecer	latin-america	a β o r e s e r
aborrecer	spain	a β o r e θ e ɾ
aborrecer	spain+latin-america	a β o r e s e ɾ
aborrecerla	spain	a β o r e θ e ɾ l a
aborrecerle	spain	a β o r e θ e ɾ l e
aborrecerlo	spain	a β o r e θ e ɾ l o
aborreceros	spain	a β o r e θ e ɾ o s
aborrecerte	spain	a β o r e θ e ɾ t̪ e
aborrecerá	spain	a β o r e s e ɾ a
aborrecerá	spain	a β o r e θ e ɾ a
aborrecerán	spain	a β o r e θ e ɾ ã n
aborrecerás	spain	a β o r e θ e ɾ a s
aborreceré	spain	a β o r e θ e ɾ e
aborrecería	spain	a β o r e θ e ɾ i a
aborreces	spain	a β o r e θ e s
aborrecible	spain	a β o r e θ i β l e
aborrecibles	spain	a β o r e θ i β l e s
aborrecida	latin-america	a β o r e s i ð a
aborrecida	spain	a β o r e θ i ð a
aborrecidas	latin-america	a β o r e s i ð a s
aborrecidas	spain	a β o r e θ i ð a s
aborrecido	spain	a β o r e θ i ð o
aborrecidos	spain	a β o r e θ i ð o s
aborreciendo	spain	a β o r e θ j ẽ n d̪ o
aborreciere	spain	a β o r e θ j e ɾ e
aborrecieron	spain	a β o r e θ j e ɾ õ n
aborreciese	spain	a β o r e θ j e s e
aborreciesen	spain	a β o r e θ j e s ẽ n
aborrecimiento	latin-america	a β o r e s i m j ẽ n t̪ o
aborrecimiento	spain	a β o r e θ i m j ẽ n t̪ o
aborreciste	spain	a β o r e θ i s t̪ e
aborreciéndolo	spain	a β o r e θ j ẽ n d̪ o l o
aborreció	spain	a β o r e θ j o
aborrecí	spain	a β o r e θ i
aborrecía	latin-america	a β o r e s i a
aborrecía	spain	a β o r e θ i a
aborrecían	spain	a β o r e θ i ã n
aborrecíanle	spain	a β o r e θ i ã n l e
aborrezca	spain	a β o r e s k a
aborrezca	spain	a β o r e θ k a
aborrezcamos	spain	a β o r e θ k a m o s
aborrezcan	spain	a β o r e θ k ã n
aborrezco	spain	a β o r e s k o
aborrezco	spain	a β o r e θ k o
abortada	spain+latin-america	a β o ɾ t̪ a ð a
abortado	spain	a β o ɾ t̪ a ð o
abortados	latin-america	a β o ɾ t̪ a ð o s
abortar	latin-america	a β o ɾ t̪ a r
abortar	spain+latin-america	a β o ɾ t̪ a ɾ
abortara	spain	a β o ɾ t̪ a ɾ a
abortaron	spain	a β o ɾ t̪ a ɾ õ n
aborte	spain	a β o ɾ t̪ e
abortivo	spain+latin-america	a β o ɾ t̪ i β o
aborto	spain+latin-america	a β o ɾ t̪ o
abortos	spain+latin-america	a β o ɾ t̪ o s
aborígenes	latin-america	a β o ɾ i ç e n e
aborígenes	latin-america	a β o ɾ i ç e n e h
aborígenes	spain+latin-america	a β o ɾ i ç e n e s
abotargada	spain	a β o t̪ a ɾ ɣ a ð a
abotonaba	spain	a β o t̪ o n a β a
abotonado	spain	a β o t̪ o n a ð o
abotonándose	spain	a β o t̪ o n ã n d̪ o s e
abotonó	spain	a β o t̪ o n o
abovedada	spain+latin-america	a β o β e ð a ð a
abovedadas	spain+latin-america	a β o β e ð a ð a s
abovedado	spain+latin-america	a β o β e ð a ð o
abovedados	spain+latin-america	a β o β e ð a ð o s
abra	spain+latin-america	a β ɾ a
abrace	spain	a β ɾ a θ e
abracen	spain	a β ɾ a θ e n
abraces	spain	a β ɾ a θ e s
abracé	spain	a β ɾ a θ e
abracé	spain+latin-america	a β ɾ a s e
abracéme	spain	a β ɾ a θ e m e
abracémonos	spain	a β ɾ a θ e m o n o s
abraham	latin-america	a β r a ã m
abraham	spain+latin-america	a β ɾ a ã m
abraham	spain+latin-america	a β ɾ ã m
abram	spain	a β ɾ ã m
abramos	spain	a β ɾ a m o s
abran	spain	a β ɾ ã n
abras	spain	a β ɾ a s
abrasa	spain	a β ɾ a s a
abrasaba	spain+latin-america	a β ɾ a s a β a
abrasaban	spain	a β ɾ a s a β ã n
abrasada	spain	a β ɾ a s a ð a
abrasadas	spain	a β ɾ a s a ð a s
abrasado	spain	a β ɾ a s a ð o
abrasador	latin-america	a β r a s a ð o r
abrasador	latin-america	a β r a s a ð o ɾ
abrasador	spain+latin-america	a β ɾ a s a ð o r
abrasador	spain+latin-america	a β ɾ a s a ð o ɾ
abrasadora	spain	a β ɾ a s a ð o ɾ a
abrasadoras	spain	a β ɾ a s a ð o ɾ a s
abrasados	spain	a β ɾ a s a ð o s
abrasan	spain	a β ɾ a s ã n
abrasando	spain	a β ɾ a s ã n d̪ o
abrasante	latin-america	a β ɾ a s ã n t̪ e
abrasar	spain	a β ɾ a s a ɾ
abrasarme	spain	a β ɾ a s a ɾ m e
abrasaron	spain	a β ɾ a s a ɾ õ n
abrasarse	spain	a β ɾ a s a ɾ s e
abrasarán	spain	a β ɾ a s a ɾ ã n
abrasase	spain	a β ɾ a s a s e
abrase	spain	a β ɾ a s e
abrasen	spain	a β ɾ a s ẽ n
abrasivo	latin-america	a β r a s i β o
abrasivo	latin-america	a β ɾ a s i β o
abrasión	latin-america	a β r a s j õ n
abrasión	latin-america	a β ɾ a s j õ n
abrasé	spain	a β ɾ a s e
abrasó	spain	a β ɾ a s o
abraza	latin-america	a β r a s a
abraza	latin-america	a β ɾ a s a
abraza	spain	a β ɾ a θ a
abrazaba	latin-america	a β r a s a β a
abrazaba	latin-america	a β ɾ a s a β a
abrazaba	spain	a β ɾ a θ a β a
abrazaban	spain	a β ɾ a θ a β ã n
abrazabas	latin-america	a β r a s a β a
abrazabas	latin-america	a β r a s a β a s
abrazabas	latin-america	a β ɾ a s a β a s
abrazada	spain	a β ɾ a θ a ð a
abrazadas	spain	a β ɾ a θ a ð a s
abrazadera	spain	a β ɾ a θ a ð e ɾ a
abrazaderas	spain	a β ɾ a θ a ð e ɾ a s
abrazadme	latin-america	a β r a s a ð m e
abrazadme	latin-america	a β ɾ a s a ð m e
abrazadme	spain	a β ɾ a θ a ð m e
abrazado	latin-america	a β r a s a ð o
abrazado	latin-america	a β ɾ a s a ð o
abrazado	spain	a β ɾ a θ a ð o
abrazador	spain	a β ɾ a θ a ð o ɾ
abrazadora	spain	a β ɾ a θ a ð o ɾ a
abrazadores	spain	a β ɾ a θ a ð o ɾ e s
abrazados	latin-america	a β r a s a ð o s
abrazados	latin-america	a β ɾ a s a ð o h
abrazados	latin-america	a β ɾ a s a ð o s
abrazados	spain	a β ɾ a θ a ð o s
abrazamos	spain	a β ɾ a θ a m o s
abrazan	latin-america	a β r a s ã n
abrazan	spain	a β ɾ a θ ã n
abrazan	spain+latin-america	a β ɾ a s ã n
abrazando	latin-america	a β ɾ a s ã n d̪ o
abrazando	spain	a β ɾ a θ ã n d̪ o
